sn,item_id,link,product_name,category,designer,price,old_price,sellable_online,other_colors,short_description,dimension,depth,height,width
3245,20359154,https://www.ikea.com/sa/en/p/vadholma-kitchen-island-black-oak-20359154/,VADHOLMA,Trolleys,Ebba Strandmark,1895,No old price,TRUE,No,Kitchen island,126x79x90 cm,79,90,126
3246,20391658,https://www.ikea.com/sa/en/p/tornviken-kitchen-island-grey-oak-20391658/,TORNVIKEN,Trolleys,Ebba Strandmark,995,No old price,TRUE,No,Kitchen island,72x52 cm,52,90,72
3247,20399777,https://www.ikea.com/sa/en/p/nissafors-trolley-black-20399777/,NISSAFORS,Trolleys,Ebba Strandmark,99,No old price,TRUE,No,Trolley,50.5x30x83 cm,,83,30
3248,20463056,https://www.ikea.com/sa/en/p/rashult-trolley-white-20463056/,RÄSHULT,Trolleys,IKEA of Sweden,125,No old price,TRUE,No,Trolley,38x28 cm,,65,28
3249,30240348,https://www.ikea.com/sa/en/p/bekvaem-kitchen-trolley-birch-30240348/,BEKVÄM,Trolleys,IKEA of Sweden,295,No old price,TRUE,No,Kitchen trolley,58x50 cm,,85,50
3250,30333286,https://www.ikea.com/sa/en/p/bror-work-bench-black-pine-plywood-30333286/,BROR,Trolleys,IKEA of Sweden,645,No old price,TRUE,No,Work bench,110x55 cm,,88,55
3251,40201916,https://www.ikea.com/sa/en/p/stenstorp-kitchen-trolley-white-oak-40201916/,STENSTORP,Trolleys,Carina Bengs,795,No old price,TRUE,No,Kitchen trolley,45x43x90 cm,,90,43
3252,40366115,https://www.ikea.com/sa/en/p/vadholma-kitchen-island-black-oak-40366115/,VADHOLMA,Trolleys,Ebba Strandmark,1495,No old price,TRUE,No,Kitchen island,79x63x90 cm,62,90,79
3253,40391657,https://www.ikea.com/sa/en/p/tornviken-kitchen-island-off-white-oak-40391657/,TORNVIKEN,Trolleys,Ebba Strandmark,1495,No old price,TRUE,No,Kitchen island,126x77 cm,,90,77
3254,40463055,https://www.ikea.com/sa/en/p/rashult-trolley-black-40463055/,RÄSHULT,Trolleys,IKEA of Sweden,125,No old price,TRUE,No,Trolley,38x28 cm,,65,28
3255,59276228,https://www.ikea.com/sa/en/p/vadholma-kitchen-island-with-rack-black-oak-s59276228/,VADHOLMA,Trolleys,Ebba Strandmark,2295,No old price,TRUE,No,Kitchen island with rack,126x79x193 cm,79,90,126
3256,60171433,https://www.ikea.com/sa/en/p/grundtal-trolley-stainless-steel-60171433/,GRUNDTAL,Trolleys,K Hagberg/M Hagberg,195,No old price,TRUE,No,Trolley,48x24x77 cm,24,77,48
3257,60333850,https://www.ikea.com/sa/en/p/bror-trolley-black-pine-plywood-60333850/,BROR,Trolleys,IKEA of Sweden,495,No old price,TRUE,No,Trolley,85x55 cm,,88,55
3258,70243873,https://www.ikea.com/sa/en/p/hornavan-trolley-white-70243873/,HORNAVAN,Trolleys,IKEA of Sweden,195,No old price,TRUE,No,Trolley,26x48x77 cm,,77,48
3259,70303720,https://www.ikea.com/sa/en/p/sunnersta-trolley-70303720/,SUNNERSTA,Trolleys,Henrik Preutz,125,No old price,TRUE,No,Trolley,56x33 cm,,97,33
3260,70334057,https://www.ikea.com/sa/en/p/ikea-ps-2017-side-table-on-castors-beech-white-70334057/,IKEA PS 2017,Trolleys,Thomas Sandell,346.5,SR 495,TRUE,No,Side table on castors,69x40 cm,,80,40
3261,70351481,https://www.ikea.com/sa/en/p/viggja-tray-stand-white-70351481/,VIGGJA,Trolleys,Henrik Preutz,99,No old price,TRUE,No,Tray stand,37x50x74 cm,50,74,37
3262,80035920,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,FÖRHÖJA,Trolleys,Nike Karlsson,645,No old price,TRUE,No,Kitchen trolley,100x43 cm,,90,43
3263,80334924,https://www.ikea.com/sa/en/p/kungsfors-kitchen-trolley-stainless-steel-80334924/,KUNGSFORS,Trolleys,Ehlén Johansson,695,No old price,TRUE,No,Kitchen trolley,60x40 cm,,90,40
3264,80393372,https://www.ikea.com/sa/en/p/tornviken-kitchen-island-grey-oak-80393372/,TORNVIKEN,Trolleys,Ebba Strandmark,1495,No old price,TRUE,No,Kitchen island,126x77 cm,,90,77
3265,80402381,https://www.ikea.com/sa/en/p/vadholma-rack-for-kitchen-island-black-80402381/,VADHOLMA,Trolleys,Ebba Strandmark,400,No old price,TRUE,No,Rack for kitchen island,NA,32,146,143
3266,90399284,https://www.ikea.com/sa/en/p/rimforsa-work-bench-stainless-steel-bamboo-90399284/,RIMFORSA,Trolleys,Ehlén Johansson,1995,No old price,TRUE,No,Work bench,120x63.5x92 cm,,92,63
3267,90443135,https://www.ikea.com/sa/en/p/raskog-trolley-grey-green-90443135/,RÄSKOG,Trolleys,Nike Karlsson,189,No old price,TRUE,Yes,Trolley,35x45x78 cm,,78,45
3268,90446619,https://www.ikea.com/sa/en/p/hoegsma-chopping-board-bamboo-90446619/,HÖGSMA,Trolleys,IKEA of Sweden,49,No old price,TRUE,No,Chopping board,42x31 cm,,,30
3269,291848,https://www.ikea.com/sa/en/p/hanviken-door-drawer-front-white-00291848/,HANVIKEN,TV & media furniture,Marcus Arvonen,75,No old price,TRUE,Yes,Door/drawer front,60x38 cm,,38,60
3270,295530,https://www.ikea.com/sa/en/p/besta-glass-shelf-glass-00295530/,BESTÅ,TV & media furniture,IKEA of Sweden,25,No old price,TRUE,No,Glass shelf,56x16 cm,16,,56
3271,296313,https://www.ikea.com/sa/en/p/sindvik-glass-door-black-brown-clear-glass-00296313/,SINDVIK,TV & media furniture,Marcus Arvonen,150,No old price,TRUE,Yes,Glass door,60x64 cm,,64,60
3272,338412,https://www.ikea.com/sa/en/p/bagganaes-knob-brass-colour-00338412/,BAGGANÄS,TV & media furniture,H Preutz/A Fredriksson,27,No old price,TRUE,Yes,Knob,NA,24,,21
3273,347888,https://www.ikea.com/sa/en/p/edvalla-drop-handle-black-00347888/,EDVALLA,TV & media furniture,Francis Cayouette,25,No old price,TRUE,No,Drop handle,NA,11,,33
3274,348717,https://www.ikea.com/sa/en/p/besta-drawer-runner-push-open-00348717/,BESTÅ,TV & media furniture,IKEA of Sweden,25,No old price,TRUE,No,"Drawer runner, push-open",NA,,,
3275,414255,https://www.ikea.com/sa/en/p/vassviken-door-white-00414255/,VASSVIKEN,TV & media furniture,IKEA of Sweden,150,No old price,TRUE,No,Door,60x64 cm,,,
3276,450088,https://www.ikea.com/sa/en/p/lack-tv-bench-white-00450088/,LACK,TV & media furniture,IKEA of Sweden,50,No old price,TRUE,Yes,TV bench,NA,26,45,90
3277,9028759,https://www.ikea.com/sa/en/p/liatorp-tv-storage-combination-white-s09028759/,LIATORP,TV & media furniture,Carina Bengs,1140,No old price,TRUE,No,TV storage combination,NA,49,45,145
3278,9068316,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-hanviken-black-brown-hanviken-stubbarp-black-brown-s09068316/,BESTÅ,TV & media furniture,IKEA of Sweden/Marcus Arvonen,860,No old price,TRUE,Yes,TV bench with doors,120x42x74 cm,42,74,120
